ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4/2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:434(_get_literal_prefix)
6/4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:172(getwidth)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:738(compile)
1,0.000,0.000,0.001,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:693(read)
4569/3775,0.005,0.000,0.046,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:141(__exit__)
64/32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:780(get)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:236(__init__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:257(contextmanager)
8,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\_distutils_hack\__init__.py:96(<lambda>)
32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:369(before_read)
37,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1145(__init__)
35350,0.006,0.000,0.006,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:170(update)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\functools.py:35(update_wrapper)
380,0.002,0.000,0.006,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:493(anchored)
12,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1258(__init__)
42,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:829(__setattr__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:571(_code)
32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:393(before_get)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1252.py:22(decode)
6,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:31(_combine_flags)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\functools.py:65(wraps)
64,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py:988(__init__)
39,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:224(__set_name__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1335(__init__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:82(opengroup)
1184,0.001,0.000,0.017,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:344(initsysfonts)
4569/3775,0.003,0.000,0.049,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
7760,0.007,0.000,0.012,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:689(__call__)
64,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py:998(__getitem__)
1,0.000,0.000,0.027,0.027,f:\Programme\Tower Defense\TowerDefense.py:30(<listcomp>)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:273(create_aliases)
8,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:162(__getitem__)
41,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:47(_is_dunder)
39,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:58(_is_sunder)
5,0.000,0.000,0.028,0.006,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py:108(import_module)
679,0.000,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:192(__get__)
31,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\_distutils_hack\__init__.py:89(find_spec)
39,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\types.py:164(__init__)
4569,0.006,0.000,0.007,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:104(__init__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:384(_mk_bitmap)
1674,0.004,0.000,0.004,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\weakref.py:68(__call__)
6,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\weakref.py:75(__eq__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:39(_remove)
1184,0.008,0.000,0.801,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:392(SysFont)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:288(wait)
435,0.001,0.000,0.007,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:95(_parse_font_entry_win)
1,0.000,0.000,0.005,0.005,f:\Programme\Tower Defense\TowerDefense.py:39(get_level_data)
5671,0.004,0.000,0.006,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:272(_compile)
1170,0.003,0.000,0.009,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:480(remove)
72686,0.802,0.000,1.751,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:445(add)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\copyreg.py:113(_slotnames)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:849(__init__)
1,0.005,0.005,362.539,362.539,f:\Programme\Tower Defense\TowerDefense.py:9(__init__)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py:348(namedtuple)
60,0.001,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:56(parse_parts)
32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:406(_interpolate_some)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:610(__init__)
7760,0.005,0.000,0.005,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1094(__new__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:509(_compile_info)
1,0.000,0.000,0.001,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1645(convert_class)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:465(_get_charset_prefix)
4/2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:37(_compile)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:307(_class_escape)
1,0.000,0.000,0.001,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1011(_read)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1133(_join_multiline_values)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:970(parse)
4/2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:447(_parse_sub)
4569,0.003,0.000,0.011,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:284(helper)
6,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\collections\__init__.py:422(<genexpr>)
64,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1157(_unify_values)
14,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:231(__next)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:954(fix_flags)
453,0.001,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1118(_wait_for_tstate_lock)
7,0.000,0.000,0.002,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:981(resolve)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1503(__and__)
39,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:78(_is_private)
1,0.000,0.000,362.304,362.304,f:\Programme\Tower Defense\TowerDefense.py:35(start_level)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:222(__init__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\weakref.py:367(__init__)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\weakref.py:510(update)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:225(compile)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:1629(_simple_enum)
9572,0.007,0.000,0.007,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:113(__init__)
5669,0.004,0.000,0.013,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:163(match)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:386(<listcomp>)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:568(isstring)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:94(closegroup)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:170(append)
14,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:247(match)
10,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:252(get)
8,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:284(tell)
96,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:889(optionxform)
12,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1377(__iter__)
1326,0.001,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\enum.py:807(__members__)
53,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1038(<dictcomp>)
12,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\configparser.py:1205(converters)
